,county_fips,Target,date of day t,temperature t,death t,daily-state-test t,precipitation t,Parks t,confirmed t,Retail t,Residential t,Transit t,Grocery t,Workplace t
0,1,1136.7142857142858,1.0,6.706350223035572,2.2857142857142856,11.213430935709749,26.76587274747578,18.142857142857142,54.0,8.857142857142858,-1.0,3.5714285714285716,7.0,3.0
1,1,2092.1428571428573,2.0,8.829780395745171,5.857142857142857,71.29794489406201,24.53300159427995,20.142857142857142,367.85714285714283,4.571428571428571,1.0,-3.857142857142857,13.857142857142858,-1.7142857142857142
2,1,2148.8571428571427,3.0,7.74274962827404,58.0,596.502227880331,36.87017730325146,2.142857142857143,3292.4285714285716,-22.714285714285715,11.142857142857142,-28.571428571428573,9.285714285714286,-25.428571428571427
3,1,2203.285714285714,4.0,9.531167791375951,346.0,1776.2619350732018,22.869790811150377,-11.571428571428571,14109.714285714286,-41.57142857142857,17.428571428571427,-47.142857142857146,-14.142857142857142,-41.42857142857143
4,1,1934.5714285714287,5.0,9.629434976552675,1136.7142857142858,2900.274802218787,19.90819846369389,-15.857142857142858,26930.14285714286,-42.0,18.428571428571427,-50.0,-15.0,-45.857142857142854
5,1,1755.142857142857,6.0,11.809699187921762,2092.1428571428573,3501.658725106847,16.96722546982934,-13.714285714285714,31332.571428571428,-43.714285714285715,19.285714285714285,-52.142857142857146,-14.0,-48.285714285714285
6,1,1425.0,7.0,7.346598421594422,2148.8571428571427,3480.63561239469,26.699009613990967,-22.0,29075.571428571428,-44.285714285714285,18.714285714285715,-51.142857142857146,-19.285714285714285,-46.42857142857143
7,1,1220.142857142857,8.0,11.940992794235388,2203.285714285714,5206.0847767247315,29.509473887627614,-8.571428571428571,29686.0,-40.142857142857146,17.714285714285715,-48.285714285714285,-14.857142857142858,-44.57142857142857
8,1,947.0,9.0,14.303072172023338,1934.5714285714287,6092.813767391107,22.580772017971896,1.7142857142857142,27737.571428571428,-35.0,15.285714285714286,-44.57142857142857,-10.0,-42.57142857142857
9,1,875.4285714285714,10.0,13.503009264554503,1755.142857142857,7000.915984146721,25.020377796028782,9.428571428571429,25271.428571428572,-30.142857142857142,14.571428571428571,-41.42857142857143,-3.5714285714285716,-39.57142857142857
10,1,745.1428571428571,11.0,13.301545236188954,1425.0,8657.842502500684,27.577709068070924,14.428571428571429,22616.714285714286,-28.857142857142858,13.857142857142858,-39.714285714285715,-5.142857142857143,-37.57142857142857
11,1,605.7142857142857,12.0,17.264012352739336,1220.142857142857,10107.825097559453,55.201748876757335,23.142857142857142,22082.85714285714,-25.0,12.857142857142858,-37.57142857142857,-3.7142857142857144,-35.714285714285715
12,1,562.5714285714286,13.0,20.194318883678363,947.0,10382.648469429072,45.771554181361424,40.0,21022.571428571428,-23.428571428571427,12.428571428571429,-36.285714285714285,-3.5714285714285716,-37.142857142857146
13,1,520.1428571428571,14.0,21.29782454535056,875.4285714285714,11329.199008820588,20.928740518865645,38.285714285714285,20785.714285714286,-19.142857142857142,10.571428571428571,-33.0,-0.7142857142857143,-30.428571428571427
14,1,748.0,15.0,21.39524419535626,745.1428571428571,11416.623626225623,35.23951881733418,49.714285714285715,21027.571428571428,-16.428571428571427,9.428571428571429,-30.285714285714285,-0.7142857142857143,-29.285714285714285
15,1,778.7142857142857,16.0,20.917146288459318,605.7142857142857,12628.51143557094,23.967814870283583,59.42857142857143,25725.571428571428,-14.285714285714286,8.428571428571429,-28.0,0.5714285714285714,-29.0
16,1,915.4285714285714,17.0,22.739881047695274,562.5714285714286,15371.482750520705,40.010019807720184,56.57142857142857,36365.42857142857,-15.285714285714286,8.714285714285714,-27.428571428571427,-1.0,-29.857142857142858
17,1,1139.7142857142858,18.0,24.041533798467334,520.1428571428571,16931.368414986944,35.1001980772018,64.14285714285714,47209.57142857143,-13.714285714285714,9.0,-27.714285714285715,2.5714285714285716,-35.142857142857146
18,1,1036.7142857142858,19.0,24.895219032368733,748.0,18608.734873575482,35.65659210589884,52.57142857142857,57739.71428571428,-15.714285714285714,8.857142857142858,-27.714285714285715,-2.2857142857142856,-31.857142857142858
19,1,1006.2857142857143,20.0,24.411083152236053,778.7142857142857,21719.4778521651,27.130334798782542,60.285714285714285,66298.28571428571,-14.714285714285714,8.714285714285714,-28.142857142857142,-1.4285714285714286,-30.714285714285715
20,1,980.4285714285714,21.0,24.74828319798696,915.4285714285714,22496.414613076293,34.8439248272864,57.0,66607.14285714286,-15.285714285714286,8.714285714285714,-28.857142857142858,-3.0,-30.857142857142858
21,1,912.5714285714286,22.0,24.475193869381236,1139.7142857142858,22895.461497348755,41.23512246968476,57.57142857142857,62805.57142857143,-14.571428571428571,8.428571428571429,-28.285714285714285,-2.7142857142857144,-31.285714285714285
22,1,834.0,23.0,22.645782912043924,1036.7142857142858,19560.39738110394,33.37012416058747,58.0,53641.28571428572,-13.857142857142858,8.142857142857142,-28.142857142857142,-2.5714285714285716,-31.142857142857142
23,1,734.4285714285714,24.0,24.518889397232066,1006.2857142857143,20961.286877900104,34.0064447557853,56.285714285714285,51722.57142857143,-14.714285714285714,7.714285714285714,-28.285714285714285,-3.7142857142857144,-31.0
24,1,798.7142857142857,25.0,23.051572686720807,980.4285714285714,19944.997135582435,23.359302381757566,50.142857142857146,43587.0,-15.142857142857142,7.714285714285714,-28.714285714285715,-4.571428571428571,-30.142857142857142
25,1,767.0,26.0,24.451379389225654,912.5714285714286,19239.432103454394,35.43387603265858,41.142857142857146,41880.42857142857,-15.857142857142858,8.0,-29.428571428571427,-5.571428571428571,-29.571428571428573
26,1,701.7142857142857,27.0,22.03527164588814,834.0,20437.69436550673,36.58772887579111,48.714285714285715,41515.142857142855,-13.428571428571429,6.714285714285714,-26.857142857142858,-3.2857142857142856,-29.857142857142858
27,1,711.5714285714286,28.0,19.261905524419547,734.4285714285714,19156.464923794778,36.43011739697571,45.142857142857146,34198.42857142857,-15.714285714285714,7.857142857142857,-30.142857142857142,-5.714285714285714,-34.42857142857143
28,1,706.1428571428571,29.0,18.647504289145598,798.7142857142857,23563.10456354252,30.61756606599354,38.714285714285715,40340.857142857145,-15.0,6.857142857142857,-29.285714285714285,-6.0,-27.0
